Awardee;Funds Obligated to Date;Agency
UNIVERSITY OF CHICAGO, THE;$186,000;NSF
TRUSTEES OF HAMPSHIRE COLLEGE;$42,000;NSF
LEVEL PLAYING FIELD INSTITUTE;$528,161;NSF
UNIVERSITY OF ILLINOIS;$100,000;NSF
CARNEGIE MELLON UNIVERSITY;$61,944;NSF
EDUCATION, TRAINING, AND RESEARCH ASSOCIATES;$779,725;NSF
TEXAS TECH UNIVERSITY SYSTEM;$15,000;NSF
MINERALS, METALS AND MATERIALS SOCIETY, INC. , THE;$5,000;NSF
OREGON STATE UNIVERSITY;$11,836;NSF
MICHIGAN STATE UNIVERSITY;$16,576;NSF
UNIVERSITY OF NEW MEXICO;$214,218;NASA
UNIVERSITY OF CALIFORNIA, DAVIS;$558,925;NSF
TRUSTEES OF BOSTON UNIVERSITY;$101,859;NSF
PENNSYLVANIA STATE UNIVERSITY, THE;$2,922,833;NSF
UNIVERSITY CORPORATION, THE;$297,852;NSF
UNIVERSITY OF CALIFORNIA, DAVIS;$150,000;NSF
CARNEGIE MELLON UNIVERSITY;$1,455,306;NSF
REGENTS OF THE UNIVERSITY OF MINNESOTA;$520,000;NSF
BUTLER UNIVERSITY;$2,132,804;NSF
BOARD OF REGENTS OF THE UNIVERSITY OF NEBRASKA;$89,925;NSF
EDUCATION DEVELOPMENT CENTER, INC.;$960,864;NSF
EXPLORATORIUM, THE;$838,069;NSF
UNIVERSITY OF HAWAII SYSTEMS;$225,000;NASA
PLANETARY SCIENCE INSTITUTE;$175,000;NASA
TEXAS A&M ENGINEERING EXPERIMENT STATION;$65,000;NASA
UNIVERSITY OF HAWAII SYSTEMS;$212,000;NASA
WEST VIRGINIA UNIVERSITY RESEARCH CORPORATION;$165,252;NASA
PURDUE UNIVERSITY;$1,787,870;NSF
HARVARD COLLEGE, PRESIDENT & FELLOWS OF;$2,000,000;NSF
UNIVERSITY OF WASHINGTON;$2,000,000;NSF
CALIFORNIA INSTITUTE OF TECHNOLOGY;$5,000,000;NSF
UNIVERSITY OF CALIFORNIA, SAN FRANCISCO;$1,000,000;NSF
UNIVERSITY OF PITTSBURGH THE;$405,282;NSF
UNIVERSITY OF FLORIDA;$392,280;NSF
TEMPLE UNIVERSITY-OF THE COMMONWEALTH SYSTEM OF HIGHER EDUCATION;$768,601;NSF
GEORGIA STATE UNIVERSITY RESEARCH FOUNDATION, INC.;$19,240;NSF
UNIVERSITY OF CALIFORNIA, LOS ANGELES;$449,820;NSF
EDUCATION DEVELOPMENT CENTER, INC.;$1,471,935;NSF
UNIVERSITY OF SOUTHERN CALIFORNIA;$870,000;NSF
MASSACHUSETTS INSTITUTE OF TECHNOLOGY;$450,000;NSF
LELAND STANFORD JUNIOR UNIVERSITY, THE;$360,000;NSF
UNIVERSITY OF CALIFORNIA, SAN DIEGO;$435,984;NSF
UNIVERSITY OF PITTSBURGH THE;$316,000;NSF
UNIVERSITY OF CALIFORNIA, IRVINE;$1,003,292;NSF
HARVARD COLLEGE, PRESIDENT & FELLOWS OF;$206,643;NSF
UNIVERSITY OF OKLAHOMA;$148,175;NASA
NORTHERN ILLINOIS UNIVERSITY INC;$1,890;NSF
REGENTS OF THE UNIVERSITY OF COLORADO, THE;$120,477;NASA
UNIVERSITY OF ALASKA FAIRBANKS;$1,720,055;NSF
NEW YORK UNIVERSITY;$418,200;NSF
UNIVERSITY OF HOUSTON SYSTEM;$240,617;NSF
UNIVERSITY OF MASSACHUSETTS;$700,000;NSF
REGENTS OF THE UNIVERSITY OF COLORADO, THE;$1,342,584;NSF
JOHNS HOPKINS UNIVERSITY, THE;$3,000,000;NSF
UNIVERSITY OF ILLINOIS;$1,419,218;NSF
CALIFORNIA ACADEMY OF SCIENCES;$610,644;NSF
RESEARCH TRIANGLE INSTITUTE;$580,000;NSF
UNIVERSITY OF KANSAS CENTER FOR RESEARCH, INC.;$178,043;NSF
TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA;$1,948,941;NSF
MONTANA STATE UNIVERSITY, INC;$61,736;NSF
REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE;$361,000;NSF
FLORIDA INTERNATIONAL UNIVERSITY;$366,106;NSF
LELAND STANFORD JUNIOR UNIVERSITY, THE;$1,020,000;NSF
HARVARD COLLEGE, PRESIDENT & FELLOWS OF;$137,276;NSF
CLEMSON UNIVERSITY;$264,123;NSF
NEW SCHOOL, THE;$18,000;NSF
REGENTS OF THE UNIVERSITY OF MINNESOTA;$862,000;NSF
UNIVERSITY OF MARYLAND BALTIMORE COUNTY;$386,658;NSF
MASSACHUSETTS INSTITUTE OF TECHNOLOGY;$185,143;NSF
RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK;$252,255;NSF
UNIVERSITY OF MARYLAND;$177,070;NSF
UNIVERSITY OF MARYLAND;$430,903;NSF
UNIVERSITY SYSTEM OF NEW HAMPSHIRE;$73,297;NASA
BOARD OF REGENTS OF THE UNIVERSITY OF NEBRASKA;$576,778;NSF
NORTHEASTERN UNIVERSITY;$500,000;NSF
NEVADA SYSTEM OF HIGHER EDUCATION;$749,700;NSF
NEW JERSEY INSTITUTE OF TECHNOLOGY;$150,000;NASA
UNIVERSITY OF CALIFORNIA, DAVIS;$450,000;NSF
IOWA STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY;$170,550;NSF
UNIVERSITY OF CALIFORNIA, SANTA CRUZ;$51,596;NSF
LELAND STANFORD JUNIOR UNIVERSITY, THE;$333,334;NSF
WESTERN STATE COLORADO UNIVERSITY;$63,599;NSF
UNIVERSITY OF TEXAS AT AUSTIN;$749,801;NSF
UNIVERSITY OF RHODE ISLAND;$385,279;NSF
YALE UNIVERSITY;$850,000;NSF
GRAMMATECH, INC.;$962,190;NSF
RESEARCH FOUNDATION OF STATE UNIVERSITY OF NEW YORK, THE;$150,000;NSF
REGENTS OF THE UNIVERSITY OF IDAHO;$370,746;NSF
TWIN CITIES PUBLIC TELEVISION, INC.;$250,000;NSF
YORK COLLEGE OF PENNSYLVANIA;$83,462;NSF
UNIVERSITY OF WASHINGTON;$30,000;NASA
UTAH STATE UNIVERSITY RESEARCH FOUNDATION;$899,993;NSF
NORTH CAROLINA STATE UNIVERSITY;$180,000;NSF
COLLEGE OF WILLIAM & MARY, THE;$512,613;NSF
UNIVERSITY OF PITTSBURGH THE;$584,000;NSF
METHODIST HOSPITAL RESEARCH INSTITUTE, THE;$228,398;NSF
WINSTON-SALEM STATE UNIVERSITY (INC);$64,138;NSF
YALE UNIVERSITY;$280,000;NSF
UNIVERSITY OF ALASKA FAIRBANKS;$1,402,992;NSF
UNIVERSITY OF WASHINGTON;$499,210;NSF
UNIVERSITY OF CALIFORNIA, DAVIS;$119,446;NSF
WASHINGTON UNIVERSITY, THE;$174,994;NSF
REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE;$333,000;NSF
CARNEGIE MELLON UNIVERSITY;$333,333;NSF
DUKE UNIVERSITY;$165,000;NSF
VANDERBILT UNIVERSITY, THE;$246,457;NSF
SOUTH DAKOTA SCHOOL OF MINES & TECHNOLOGY;$282,942;NSF
UNIVERSITY OF NEW MEXICO;$422,472;NSF
SOUTHERN ILLINOIS UNIVERSITY;$200,002;NSF
UNIVERSITY OF CALIFORNIA, SAN DIEGO;$333,000;NSF
NORTHERN ILLINOIS UNIVERSITY INC;$272,112;NSF
UNIVERSITY OF TEXAS AT DALLAS;$339,570;NSF
WASHINGTON UNIVERSITY, THE;$275,000;NSF
REGENTS OF THE UNIVERSITY OF MINNESOTA;$235,851;NSF
TECHNICAL EDUCATION RESEARCH CENTERS, INC.;$185,638;NSF
BRIGHAM YOUNG UNIVERSITY;$836,066;NSF
UNIVERSITY OF MARYLAND;$445,231;NSF
UNIVERSITY OF CALIFORNIA, DAVIS;$244,373;NSF
TEXAS A&M ENGINEERING EXPERIMENT STATION;$667,000;NSF
BUCKNELL UNIVERSITY;$91,012;NSF
HARVARD COLLEGE, PRESIDENT & FELLOWS OF;$3,832,809;NSF
UNIVERSITY OF CALIFORNIA, SANTA CRUZ;$249,411;NSF
UNIVERSITY OF WISCONSIN SYSTEM;$447,706;NSF
REGENTS OF THE UNIVERSITY OF COLORADO, THE;$330,000;NSF
ILLINOIS INSTITUTE OF TECHNOLOGY;$275,000;NSF
UNIVERSITY OF WASHINGTON;$599,964;NSF
OHIO STATE UNIVERSITY, THE;$200,000;NSF
UNIVERSITY OF WASHINGTON;$1,499,920;NSF
LOUISIANA STATE UNIVERSITY SYSTEM;$163,886;NSF
UNIVERSITY OF CALIFORNIA, DAVIS;$296,908;NSF
ARIZONA STATE UNIVERSITY;$159,625;NSF
UNIVERSITY OF CALIFORNIA, SAN DIEGO;$250,001;NSF
UNIVERSITY OF CALIFORNIA, IRVINE;$355,320;NSF
BAYLOR COLLEGE OF MEDICINE;$704,508;NSF
UTAH STATE UNIVERSITY;$240,739;NSF
ROCHESTER INSTITUTE OF TECHNOLOGY (INC);$80,000;NSF
VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY;$1,091,999;NSF
UNIVERSITY OF CALIFORNIA, SANTA BARBARA;$511,250;NSF
REGENTS OF THE UNIVERSITY OF MINNESOTA;$415,615;NSF
CLEVELAND STATE UNIVERSITY;$1,508,599;NSF
OHIO STATE UNIVERSITY, THE;$1,100,000;NSF
RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK;$360,000;NSF
FLORIDA STATE UNIVERSITY, THE;$450,000;NSF
TRUSTEES OF BOSTON UNIVERSITY;$200,109;NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN;$499,286;NSF
SRI INTERNATIONAL;$609,065;NSF
SAINT LOUIS UNIVERSITY;$157,094;NSF
AERODYNE RESEARCH, INC.;$60,000;NSF
RESEARCH FOUNDATION OF STATE UNIVERSITY OF NEW YORK, THE;$1,250,921;NSF
ARIZONA STATE UNIVERSITY;$887,232;NSF
UNIVERSITY OF CALIFORNIA, DAVIS;$150,000;NSF
VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY;$487,004;NSF
REGENTS OF THE UNIVERSITY OF MINNESOTA;$489,119;NSF
NATIONAL ACADEMY OF SCIENCES;$799,591;NSF
UNIVERSITY OF CALIFORNIA, SANTA BARBARA;$235,999;NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN;$420,000;NSF
REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE;$600,750;NSF
UNIVERSITY OF ILLINOIS;$271,000;NSF
ATMOSPHERIC AND ENVIRONMENTAL RESEARCH, INC.;$249,995;NSF
COLD SPRING HARBOR LABORATORY;$887,938;NSF
UNIVERSITY OF TEXAS AT DALLAS;$252,060;NSF
MICHIGAN STATE UNIVERSITY;$194,717;NSF
PLANETARY SCIENCE INSTITUTE;$186,140;NASA
UNIVERSITY OF MAINE SYSTEM;$192,226;NSF
FLORIDA INTERNATIONAL UNIVERSITY;$439,500;NSF
BOWLING GREEN STATE UNIVERSITY (INC);$405,992;NSF
BOARD OF REGENTS OF THE UNIVERSITY OF NEBRASKA;$167,793;NSF
BOARD OF REGENTS OF THE UNIVERSITY OF NEBRASKA;$749,285;NSF
REAL-TIME ANALYZERS, INCORPORATED;$687,521;NSF
UNIVERSITY CORPORATION FOR ATMOSPHERIC RESEARCH;$2,992,994;NSF
CALIFORNIA INSTITUTE OF TECHNOLOGY;$420,000;NSF
SRI INTERNATIONAL;$419,271;NSF
LEHIGH UNIVERSITY;$335,000;NSF
NATIONAL ACADEMY OF SCIENCES;$836,619;NSF
TRUSTEES OF PRINCETON UNIVERSITY, THE;$820,000;NSF
CORNELL UNIVERSITY, INC;$306,825;NSF
PENNSYLVANIA STATE UNIVERSITY, THE;$174,322;NSF
CLEMSON UNIVERSITY;$390,000;NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN;$420,000;NSF
UNIVERSITY OF SAN DIEGO;$300,000;NSF
INSTITUTE FOR ADVANCED STUDY;$648,000;NSF
UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL;$420,000;NSF
UNIVERSITY OF DELAWARE;$999,520;NSF
CARNEGIE INSTITUTION OF WASHINGTON;$154,372;NSF
CARNEGIE INSTITUTION OF WASHINGTON;$154,372;NSF
UNIVERSITY OF MAINE SYSTEM;$735,315;NSF
UNIVERSITY SYSTEM OF NEW HAMPSHIRE;$750,000;NSF
UNIVERSITY OF TEXAS AT ARLINGTON;$815,890;NSF
TRUSTEES OF PRINCETON UNIVERSITY, THE;$487,630;NSF
RENSSELAER POLYTECHNIC INSTITUTE;$325,000;NSF
UNIVERSITY OF CALIFORNIA, SAN FRANCISCO;$1,043,173;NSF
REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE;$498,875;NSF
UNIVERSITY OF WASHINGTON;$199,681;NSF
GEORGIA TECH RESEARCH CORPORATION;$304,000;NSF
GEORGIA TECH RESEARCH CORPORATION;$299,999;NSF
TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK;$382,569;NSF
UNIVERSITY OF ILLINOIS;$1,828,077;NSF
UNIVERSITY OF SOUTHERN CALIFORNIA;$335,000;NSF
NORTHWESTERN UNIVERSITY;$699,999;NSF
WOODS HOLE OCEANOGRAPHIC INSTITUTION;$10,278;NASA
JACKSON STATE UNIVERSITY;$600,000;NSF
NORTH CAROLINA STATE UNIVERSITY;$952,818;NSF
MICHIGAN STATE UNIVERSITY;$800,000;NSF
MORGAN STATE UNIVERSITY (INC);$300,625;NSF
UNIVERSITY OF CALIFORNIA, DAVIS;$609,000;NSF
UNIVERSITY OF PITTSBURGH THE;$247,154;NSF
UNIVERSITY OF SOUTH FLORIDA;$194,869;NSF
UNIVERSITY OF SOUTHERN CALIFORNIA;$748,914;NSF
GEORGIA TECH RESEARCH CORPORATION;$149,000;NSF
GEORGIA TECH RESEARCH CORPORATION;$1,188,710;NSF
SYRACUSE UNIVERSITY;$200,000;NSF
NANOVALENT PHARMACEUTICALS, INC;$500,000;NSF
MASSACHUSETTS INSTITUTE OF TECHNOLOGY;$275,453;NSF
WRIGHT STATE UNIVERSITY;$200,000;NSF
CLEMSON UNIVERSITY;$198,829;NSF
KALIBER IMAGING;$481,337;NSF
TEXAS A & M UNIVERSITY;$158,699.31;NSF
UNIVERSITY OF GEORGIA RESEARCH FOUNDATION, INC.;$493,692;NSF
UNIVERSITY OF ARIZONA;$79,922;NSF
THE RESEARCH FOUNDATION OF STATE UNIVERSITY OF NEW YORK;$176,999;NSF
CALIFORNIA STATE UNIVERSITY EAST BAY FOUNDATION;$299,979;NSF
REGENTS OF THE UNIVERSITY OF CALIFORNIA AT RIVERSIDE;$160,311;NSF
BROWN UNIVERSITY IN PROVIDENCE IN STATE OF RI AND PROVIDENCE PLANTATIONS;$134,954;NSF
ROWAN UNIVERSITY;$199,791;NSF
NORTHWESTERN UNIVERSITY;$360,000;NSF
CALIFORNIA ASSOCIATION FOR RESEARCH IN ASTRONOMY;$835,409;NSF
HARVARD COLLEGE, PRESIDENT & FELLOWS OF;$100,000;NSF
REL, INC.;$487,836;NSF
UNIVERSITY OF UTAH, THE;$80,621;NSF
TRUSTEES OF PRINCETON UNIVERSITY, THE;$420,000;NSF
WOODS HOLE OCEANOGRAPHIC INSTITUTION;$656,606;NSF
BERKELEY GEOCHRONOLOGY CENTER;$80,000;NSF
CASE WESTERN RESERVE UNIVERSITY;$150,000;NSF
UNIVERSITY OF CALIFORNIA, LOS ANGELES;$758,320;NSF
UNIVERSITY OF MARYLAND;$225,561;NSF
GLUCOSENTIENT, INC;$750,000;NSF
MICHIGAN STATE UNIVERSITY;$433,473;NSF
GEORGIA STATE UNIVERSITY RESEARCH FOUNDATION, INC.;$174,021;NSF
SIGMA XI, THE SCIENTIFIC RESEARCH SOCIETY, INCORPORATED;$296,128;NSF
DUKE UNIVERSITY;$86,674.24;NSF
MASSACHUSETTS INSTITUTE OF TECHNOLOGY;$776,696;NSF
COLORADO STATE UNIVERSITY;$499,290;NSF
CALIFORNIA INSTITUTE OF TECHNOLOGY;$199,564;NSF
UNIVERSITY OF CALIFORNIA, LOS ANGELES;$73,945;NSF
VIRGINIA INSTITUTE OF MARINE SCIENCE;$128,672;NSF
TRUSTEES OF THE COLORADO SCHOOL OF MINES;$856,000;NSF
COLLEGE OF WILLIAM & MARY, THE;$151,328;NSF
REGENTS OF THE UNIVERSITY OF COLORADO, THE;$384,000;NSF
RUTGERS, THE STATE UNIVERSITY OF NEW JERSEY;$79,955;NSF
REGENTS OF THE UNIVERSITY OF COLORADO, THE;$114,009;NSF
UNIVERSITY OF ARKANSAS SYSTEM;$3,471,665;NSF
UNIVERSITY OF TENNESSEE;$342,945;NSF
UNIVERSITY OF FLORIDA;$94,576;NSF
OBERLIN COLLEGE;$200,029;NSF
UNIVERSITY OF SOUTHERN CALIFORNIA;$120,000;NSF
SITKA SOUND SCIENCE CENTER INC.;$216,269;NSF
DUKE UNIVERSITY;$184,398;NSF
GORDON RESEARCH CONFERENCES INC;$32,000;NSF
UNIVERSITY OF CALIFORNIA, DAVIS;$913,496;NSF
UNIVERSITY OF HAWAII SYSTEMS;$554,924;NSF
UNIVERSITY OF CALIFORNIA, DAVIS;$829,086;NSF
EASTERN KENTUCKY UNIVERSITY;$300,474;NSF
CARY INSTITUTE OF ECOSYSTEM STUDIES, INC.;$84,983;NSF
NATIONAL BUREAU OF ECONOMIC RESEARCH, INC.;$424,445;NSF
UNIVERSITY OF CONNECTICUT;$600,000;NSF
UNIVERSITY OF GEORGIA RESEARCH FOUNDATION, INC.;$1,548,739;NSF
LELAND STANFORD JUNIOR UNIVERSITY, THE;$9,000;NSF
REED INSTITUTE, THE;$450,000;NSF
UNIVERSITY OF CALIFORNIA, DAVIS;$7,944,046;NSF
TEXAS A&M AGRILIFE RESEARCH;$163,463;NSF
WASHINGTON STATE UNIVERSITY;$235,269;NSF
UNIVERSITY OF SOUTH FLORIDA;$161,052;NSF
UNIVERSITY OF UTAH, THE;$999,871;NSF
TEMPLE UNIVERSITY-OF THE COMMONWEALTH SYSTEM OF HIGHER EDUCATION;$2,002.27;NSF
RESEARCH FOUNDATION OF STATE UNIVERSITY OF NEW YORK, THE;$0;NSF
UNIVERSITY OF WISCONSIN SYSTEM;$277,104;NSF
PURDUE UNIVERSITY;$200,000;NSF
TEACHERS COLLEGE, COLUMBIA UNIVERSITY;$1,480,949;NSF
OREGON STATE UNIVERSITY;$235,405;NSF
MARQUETTE UNIVERSITY;$102,468;NSF
FLORIDA STATE UNIVERSITY, THE;$48,000;NSF
FLORIDA STATE UNIVERSITY, THE;$475,901;NSF
UNIVERSITY OF WASHINGTON;$81,011;NSF
TRUSTEES OF INDIANA UNIVERSITY;$600,071;NSF
TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA;$9,248;NSF
UNIVERSITY OF UTAH, THE;$249,543;NSF
UNIVERSITY OF HAWAII SYSTEMS;$132,018;NSF
MICHIGAN STATE UNIVERSITY;$878,530;NSF
KANSAS STATE UNIVERSITY;$440,723;NSF
UNIVERSITY OF TEXAS - PAN AMERICAN;$12,238;NSF
UNIVERSITY OF CALIFORNIA, SAN DIEGO;$102,387;NSF
UNIVERSITY OF NOTRE DAME DU LAC;$281,250;NSF
PURDUE UNIVERSITY;$562,500;NSF
WASHINGTON STATE UNIVERSITY;$156,250;NSF
REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE;$108,347;NSF
GORDON RESEARCH CONFERENCES INC;$48,400;NSF
UNIVERSITY OF KENTUCKY;$666,864;NSF
TEXAS SOUTHERN UNIVERSITY;$286,649;NSF
MISSISSIPPI STATE UNIVERSITY;$286,649;NSF
UNIVERSITY OF FLORIDA;$409,498;NSF
UNIVERSITY OF GEORGIA RESEARCH FOUNDATION, INC.;$225,557;NSF
UNIVERSITY OF KENTUCKY;$46,955;NSF
ALABAMA A & M UNIVERSITY;$50,000;NASA
OREGON STATE UNIVERSITY;$34,221;NSF
APPLIED GEOSOLUTIONS LLC;$1,245,430;NASA
KANSAS STATE UNIVERSITY;$1,419,186;NSF
TRUSTEES OF BOSTON UNIVERSITY;$998,503;NSF
TRUSTEES OF INDIANA UNIVERSITY;$589,572;NSF
WASHINGTON AND LEE UNIVERSITY, THE;$4,157;NSF
REGENTS OF THE UNIVERSITY OF COLORADO, THE;$249,376;NSF
ARIZONA STATE UNIVERSITY;$249,998;NSF
NORTH DAKOTA STATE UNIVERSITY;$406,000;NSF
TRUSTEES OF INDIANA UNIVERSITY;$642,041;NSF
MONTANA STATE UNIVERSITY, INC;$183,478;NASA
PROXEMY RESEARCH, INC;$127,965;NASA
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT HOUSTON;$86,721;NASA
REGENTS OF THE UNIVERSITY OF MICHIGAN;$392,566;NASA
MASSACHUSETTS INSTITUTE OF TECHNOLOGY;$106,147;NSF
UNIVERSITY OF TEXAS AT TYLER, THE;$49,800;NSF
TRUSTEES OF INDIANA UNIVERSITY;$686,411;NSF
DELAWARE TRIBE OF INDIANS;$24,879;NSF
REGENTS OF THE UNIVERSITY OF IDAHO;$26,571;NSF
UNIVERSITY OF ILLINOIS;$20,569;NSF
LELAND STANFORD JUNIOR UNIVERSITY, THE;$868,427;NSF
UNIVERSITY OF CONNECTICUT;$597,091;NSF
UNIVERSITY OF CALIFORNIA, SANTA BARBARA;$170,000;NSF
REGENTS OF THE UNIVERSITY OF MINNESOTA;$116,000;NSF
UNIVERSITY OF WISCONSIN SYSTEM;$475,264;NSF
REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE;$752,230;NSF
MASSACHUSETTS INSTITUTE OF TECHNOLOGY;$387,042;NSF
UNIVERSITY OF ALASKA FAIRBANKS;$266,347;NASA
UNIVERSITY OF MARYLAND BALTIMORE COUNTY;$122,705;NASA
SOUTHWEST RESEARCH INSTITUTE;$219,412;NASA
SAN JOSE STATE UNIVERSITY RESEARCH FOUNDATION;$171,991;NSF
WASHINGTON UNIVERSITY, THE;$368,721;NSF
TRUSTEES OF INDIANA UNIVERSITY;$900,151;NSF
UNIVERSITY OF TEXAS AT AUSTIN;$321,488;NSF
EVERETT COMMUNITY COLLEGE;$99,488;NSF
UNIVERSITY OF NORTH CAROLINA AT WILMINGTON;$279,435;NSF
UNIVERSITY OF TEXAS AT AUSTIN;$1,198,122;NSF
REGENTS OF THE UNIVERSITY OF MINNESOTA;$495,207;NSF
REGENTS OF THE UNIVERSITY OF MINNESOTA;$867,274;NSF
RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK;$861,434;NSF
THE GEORGE WASHINGTON UNIVERSITY;$269,505;NSF
AMERICAN INDIAN HIGHER EDUCATION CONSORTIUM;$498,013;NSF
J CRAIG VENTER INSTITUTE INC;$4,263,923;NSF
UNIVERSITY OF CALIFORNIA, SAN DIEGO;$2,651,758;NSF
REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE;$642,855;NSF
APPALACHIAN STATE UNIVERSITY;$112,938;NSF
UNIVERSITY OF WISCONSIN SYSTEM;$311,702;NSF
BOARD OF REGENTS OF THE UNIVERSITY OF NEBRASKA;$716,893;NSF
UNIVERSITY OF MARYLAND;$234,225;NSF
CORNELL UNIVERSITY, INC;$699,986;NSF
UNIVERSITY OF MARYLAND;$234,225;NSF
DUKE UNIVERSITY;$5,250,000;NSF
TRUSTEES OF TUFTS COLLEGE INC;$449,921;NSF
UNIVERSITY OF MARYLAND;$980,000;NSF
COLLEGE OF WILLIAM & MARY, THE;$200,000;NSF
UNIVERSITY OF ILLINOIS;$255,851;NSF
MISSOURI STATE UNIVERSITY;$156,977;NSF
NORTHERN ILLINOIS UNIVERSITY INC;$176,288;NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN;$661,005;NSF
CALIFORNIA INSTITUTE OF TECHNOLOGY;$179,920;NSF
HARVARD COLLEGE, PRESIDENT & FELLOWS OF;$495,403;NSF
REGENTS OF THE UNIVERSITY OF COLORADO, THE;$572,853;NSF
CORNELL UNIVERSITY, INC;$1,976,976;NSF
UNIVERSITY OF MISSOURI SYSTEM;$126,646;NSF
REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE;$269,113;NSF
UNIVERSITY OF CALIFORNIA, LOS ANGELES;$480,000;NSF
UNIVERSITY OF CALIFORNIA, LOS ANGELES;$480,000;NSF
WESTERN MICHIGAN UNIVERSITY;$75,000;NSF
UNIVERSITY OF ILLINOIS;$390,000;NSF
UNIVERSITY OF KANSAS CENTER FOR RESEARCH, INC.;$349,714;NSF
REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE;$300,971;NSF
UNIVERSITY OF WISCONSIN SYSTEM;$783,697;NSF
UNIVERSITY OF CALIFORNIA, SAN DIEGO;$617,681;NSF
RECTOR & VISITORS OF THE UNIVERSITY OF VIRGINIA;$233,438;NSF
UNIVERSITY OF NOTRE DAME DU LAC;$52,434;NSF
SOUTHERN ILLINOIS UNIVERSITY;$896,629;NSF
CORNELL UNIVERSITY, INC;$2,239,876;NSF
MIAMI UNIVERSITY;$329,094;NSF
TRUSTEES OF PRINCETON UNIVERSITY, THE;$52,000;NASA
SRI INTERNATIONAL;$1,788,945;NSF
UNIVERSITY OF IOWA, THE;$200,521;NSF
UNIVERSITY OF GEORGIA RESEARCH FOUNDATION, INC.;$191,543;NSF
PURDUE UNIVERSITY;$260,331;NSF
UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL;$282,521;NSF
UNIVERSITY OF TEXAS SOUTHWESTERN MEDICAL CENTER;$234,715;NSF
UNIVERSITY OF TEXAS AT ARLINGTON;$461,098;NSF
SOUTHERN METHODIST UNIVERSITY INC;$196,717;NSF
UNIVERSITY OF WISCONSIN SYSTEM;$1,499,998;NSF
UNIVERSITY OF SOUTH FLORIDA;$55,481;NSF
CORNELL UNIVERSITY, INC;$772,568;NSF
IOWA STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY;$240,000;NSF
IOWA STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY;$1,000,000;NSF
UNIVERSITY OF ALASKA FAIRBANKS;$954,290;NSF
CAPITOL COLLEGE;$655,988;NSF
UNIVERSITY OF CALIFORNIA, SANTA BARBARA;$1,714,176;NSF
NORTH CAROLINA STATE UNIVERSITY;$249,854;NSF
UNIVERSITY OF NOTRE DAME DU LAC;$75,000;NSF
UNIVERSITY OF OREGON;$235,961;NSF
CHILDREN'S HOSPITAL CORPORATION, THE;$672,956;NSF
JOHNS HOPKINS UNIVERSITY, THE;$119,997;NSF
COLLEGE OF WILLIAM & MARY, THE;$15,000;NSF
YALE UNIVERSITY;$100,000;NSF
MARINE BIOLOGICAL LABORATORY, THE;$344,038;NSF
UNIVERSITY OF CALIFORNIA, DAVIS;$283,907;NSF
UNIVERSITY OF UTAH, THE;$282,225;NSF
REGENTS OF THE UNIVERSITY OF COLORADO, THE;$55,056;NSF
UNIVERSITY OF CHICAGO, THE;$49,553;NSF
UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE;$249,112;NSF
NEW YORK BOTANICAL GARDEN, THE;$599,866;NSF
MICHIGAN STATE UNIVERSITY;$244,687;NSF
RECTOR & VISITORS OF THE UNIVERSITY OF VIRGINIA;$75,000;NSF
UNIVERSITY OF ROCHESTER;$100,000;NSF
WASHINGTON UNIVERSITY, THE;$121,909;NSF
UNIVERSITY OF PACIFIC;$59,250;NSF
VIRGINIA INSTITUTE OF MARINE SCIENCE;$582,532;NSF
UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL;$1,857,920;NSF
UNIVERSITY OF MAINE SYSTEM;$54,486;NSF
UNIVERSITY OF FLORIDA;$160,185;NSF
UNIVERSITY OF WASHINGTON;$1,384,217;NSF
UNIVERSITY OF GEORGIA RESEARCH FOUNDATION, INC.;$350,264;NSF
